cuisine_id,cuisine_name
0,Creative
1,Classic cuisine
2,Market cuisine
3,Modern cuisine
4,Japanese
5,Vegetarian
6,Contemporary
7,Indian
8,Korean
9,Californian
10,American
11,International
12,Moroccan
13,Thai
14,Chinese
15,Fusion
16,Italian
17,French
18,Asian
19,Steakhouse
20,Mexican
21,Gastropub
22,Danish
23,Classic French
24,Finnish
25,Mediterranean
26,Seafood
27,Cantonese
28,Dim Sum
29,Teppanyaki
30,Sushi
31,Shanghainese
32,Noodles and congee
33,Innovative
34,Cantonese Roast Meats
35,Taizhou
36,Sichuan
37,European contemporary
38,Scandinavian
39,Austrian
40,Spanish
41,Modern British
42,modern
43,Asian influences
44,creative
45,French contemporary
46,Korean contemporary
47,Temple cuisine
48,Street Food
49,Fujian
50,Australian
51,Italian contemporary
52,Barbecue
53,Peranakan
54,Meats and grills
55,Taiwanese
56,Hang Zhou
57,Asian contemporary
58,Thai Contemporary
59,Southern Thai
60,European
61,Creative British
62,Traditional British
63,Regional cuisine
64,Mediterranean cuisine
65,Creative French
66,Modern French
67,Hunanese and Sichuan
68,Japanese contemporary
69,Sichuan-Huai Yang
